"Story","Title","Result","Date","Stability","Duration (s)"
"AboutUs Function","Confirm screen will show ""about us video"" when clicking ""about us"" button","SUCCESS","2023-05-24T20:42:01.928+07:00[Asia/Bangkok]","0.0","27.45"
"AboutUs Function","Confirm user can close video when clicking on the close button.","SUCCESS","2023-05-24T20:42:30.073+07:00[Asia/Bangkok]","0.0","16.89"
"AddToCart Function","Confirm user can add product to cart when clicking on the add to cart button","SUCCESS","2023-05-24T20:47:15.646+07:00[Asia/Bangkok]","0.0","43.01"
"AddToCart Function","Confirm user can add product to cart when clicking on the add to cart button","SUCCESS","2023-05-24T20:47:15.646+07:00[Asia/Bangkok]","0.0","43.01"
"AddToCart Function","Confirm user can add product to cart when clicking on the add to cart button","SUCCESS","2023-05-24T20:47:15.646+07:00[Asia/Bangkok]","0.0","43.01"
"AddToCart Function","Confirm the price is displayed properly in cart","SUCCESS","2023-05-24T20:47:58.659+07:00[Asia/Bangkok]","0.0","58.33"
"AddToCart Function","Confirm the price is displayed properly in cart","SUCCESS","2023-05-24T20:47:58.659+07:00[Asia/Bangkok]","0.0","58.33"
"AddToCart Function","Confirm the price is displayed properly in cart","SUCCESS","2023-05-24T20:47:58.659+07:00[Asia/Bangkok]","0.0","58.33"
"AddToCart Function","Confirm the product is displayed properly in cart","SUCCESS","2023-05-24T20:48:56.998+07:00[Asia/Bangkok]","0.0","59.07"
"AddToCart Function","Confirm the product is displayed properly in cart","SUCCESS","2023-05-24T20:48:56.998+07:00[Asia/Bangkok]","0.0","59.07"
"AddToCart Function","Confirm the product is displayed properly in cart","SUCCESS","2023-05-24T20:48:56.998+07:00[Asia/Bangkok]","0.0","59.07"
"Contact Function","Confirm user can send massage with email, name and message are filled in.","SUCCESS","2023-05-24T20:40:38.977+07:00[Asia/Bangkok]","0.0","17.59"
"Contact Function","Confirm user can not send massage when entering invalid format of email.","FAILURE","2023-05-24T20:40:56.595+07:00[Asia/Bangkok]","0.0","14.56"
"Contact Function","Confirm user can not send massage when email is left blank.","FAILURE","2023-05-24T20:41:11.171+07:00[Asia/Bangkok]","0.0","13.97"
"Contact Function","Confirm user can not send massage when name is left blank.","FAILURE","2023-05-24T20:41:25.153+07:00[Asia/Bangkok]","0.0","12.94"
"Contact Function","Confirm user can not send massage when message is left blank.","FAILURE","2023-05-24T20:41:38.096+07:00[Asia/Bangkok]","0.0","13.67"
"Delete Function","Confirm user can delete product from cart when clicking on the delete button","SUCCESS","2023-05-24T20:42:47.764+07:00[Asia/Bangkok]","0.0","87.43"
"Delete Function","Confirm user can delete product from cart when clicking on the delete button","SUCCESS","2023-05-24T20:42:47.764+07:00[Asia/Bangkok]","0.0","87.43"
"Delete Function","Confirm user can delete product from cart when clicking on the delete button","SUCCESS","2023-05-24T20:42:47.764+07:00[Asia/Bangkok]","0.0","87.43"
"Login Function","Confirm user can login successfully with valid username and valid password","ERROR","2023-05-24T20:44:15.591+07:00[Asia/Bangkok]","0.0","22.21"
"Login Function","Confirm user can not login with valid username but password is not filled in.","SUCCESS","2023-05-24T20:44:37.812+07:00[Asia/Bangkok]","0.0","12.2"
"Login Function","Confirm user can not login successfully with valid username and invalid password","SUCCESS","2023-05-24T20:44:50.015+07:00[Asia/Bangkok]","0.0","11.93"
"Login Function","Confirm user can not login successfully with username is not filled in and password is filled in.","SUCCESS","2023-05-24T20:45:01.955+07:00[Asia/Bangkok]","0.0","12.01"
"Login Function","Confirm user can not login successfully when the user is not registered","SUCCESS","2023-05-24T20:45:13.972+07:00[Asia/Bangkok]","0.0","11.69"
"Login Function","Confirm user can not login successefully when username and password are not filled in.","SUCCESS","2023-05-24T20:45:25.679+07:00[Asia/Bangkok]","0.0","12.48"
"Place order Function","Confirm user can purchase successfully.","SUCCESS","2023-05-24T20:49:56.373+07:00[Asia/Bangkok]","0.0","30.29"
"Place order Function","Confirm user can not place order.","SUCCESS","2023-05-24T20:50:26.669+07:00[Asia/Bangkok]","0.0","86.75"
"Place order Function","Confirm user can not place order.","SUCCESS","2023-05-24T20:50:26.669+07:00[Asia/Bangkok]","0.0","86.75"
"Place order Function","Confirm user can not place order.","SUCCESS","2023-05-24T20:50:26.669+07:00[Asia/Bangkok]","0.0","86.75"
"Sign up Function","Confirm user can sign up successfully with valid username and valid password.","FAILURE","2023-05-24T20:45:43.132+07:00[Asia/Bangkok]","0.0","16.93"
"Sign up Function","Confirm user can not sign up successfully.","SUCCESS","2023-05-24T20:46:00.076+07:00[Asia/Bangkok]","0.0","53.35"
"Sign up Function","Confirm user can not sign up successfully.","SUCCESS","2023-05-24T20:46:00.076+07:00[Asia/Bangkok]","0.0","53.35"
"Sign up Function","Confirm user can not sign up successfully.","SUCCESS","2023-05-24T20:46:00.076+07:00[Asia/Bangkok]","0.0","53.35"
"Sign up Function","Confirm user can not sign up successfully when username already exist and password is filled in.","SUCCESS","2023-05-24T20:46:53.442+07:00[Asia/Bangkok]","0.0","17.44"
